Difficulty Mean SD Cut.score obs.min Min.score obs.max Max.score Prop.max.score RIR RIT Corr.criterion ULI gULI Alpha.drop Index.rel Index.val Perc.miss Perc.nr
Grade 0.516814159292035 3.58407079646018 1.68356373567678 NA 1 1 6 6 0.150442477876106 0.0955005367076412 0.318517515892853 NA 0.1375 NA -3.22200972920835 0.536244538935061 NA 0 0
Age 0.400442477876106 10.2035398230088 1.80356438771454 NA 7 7 15 15 0.00884955752212389 -0.0159874599500625 0.284728147030529 NA 0.122767857142857 NA -3.15014564048734 0.51352554616421 NA 0 0
i1 0.946902654867257 0.946902654867257 0.225226392634872 NA 0 0 1 1 0.946902654867257 NA NA NA 0 NA -2.91619765216191 NA NA 0 0
i2 0.911504424778761 0.911504424778761 0.285279378225908 NA 0 0 1 1 0.911504424778761 NA NA NA 0 NA -2.91520348369469 NA NA 0 0
i3 0.911504424778761 0.911504424778761 0.285279378225908 NA 0 0 1 1 0.911504424778761 NA NA NA 0 NA -2.91520348369469 NA NA 0 0
i4 0.972222222222222 0.972222222222222 0.165101686781793 NA 0 0 1 1 0.972222222222222 NA NA NA 0 NA -2.91695869216257 NA NA 4.42477876106195 0
i5 0.97196261682243 0.97196261682243 0.165856492027911 NA 0 0 1 1 0.97196261682243 NA NA NA 0 NA -2.91695059127224 NA NA 5.30973451327434 0
i6 0.933962264150943 0.933962264150943 0.249527856046968 NA 0 0 1 1 0.933962264150943 NA NA NA 0 NA -2.9158235191657 NA NA 6.19469026548673 0
i7 0.943396226415094 0.943396226415094 0.232181730106286 NA 0 0 1 1 0.943396226415094 NA NA NA 0 NA -2.91609448373607 NA NA 6.19469026548673 0
i8 0.961538461538462 0.961538461538462 0.193238969872078 NA 0 0 1 1 0.961538461538462 NA NA NA 0 NA -2.91663172587974 NA NA 7.9646017699115 0
i9 0.96078431372549 0.96078431372549 0.195066306444553 NA 0 0 1 1 0.96078431372549 0.00498257588003513 0.0317483029968659 NA 0 NA -2.92049124905128 0.00619302420148118 NA 9.73451327433628 0
i10 0.725490196078431 0.725490196078431 0.448470729203631 NA 0 0 1 1 0.725490196078431 0.207537417492532 0.250656588388975 NA 0.142857142857143 NA -2.99437916227538 0.112412142974498 NA 9.73451327433628 0
i11 0.784313725490196 0.784313725490196 0.413328699067839 NA 0 0 1 1 0.784313725490196 0.323793459820624 0.364022563754327 NA 0.142857142857143 NA -3.03800449150906 0.150460972707915 NA 9.73451327433628 0
i12 0.673267326732673 0.673267326732673 0.471357844765293 NA 0 0 1 1 0.673267326732673 0.333039675151408 0.383239225784798 NA 0.285714285714286 NA -3.07666411075479 0.180642815495442 NA 10.6194690265487 0
i13 0.764044943820225 0.764044943820225 0.426999891156904 NA 0 0 1 1 0.764044943820225 0.230221785227582 0.278829242751045 NA 0.151785714285714 NA -3.0176519400515 0.119060056306058 NA 21.2389380530973 0
i14 0.839080459770115 0.839080459770115 0.369586922727183 NA 0 0 1 1 0.839080459770115 0.197830715547274 0.223483152468134 NA 0.0714285714285714 NA -2.95825670468132 0.0825964506020677 NA 23.0088495575221 0
i15 0.792682926829268 0.792682926829268 0.407879335765388 NA 0 0 1 1 0.792682926829268 0.244795015134083 0.293028880113366 NA 0.214285714285714 NA -3.02428604606632 0.119520424980715 NA 27.4336283185841 0
i16 0.782051282051282 0.782051282051282 0.415524575278855 NA 0 0 1 1 0.782051282051282 0.441296631506276 0.477388539119678 NA 0.214285714285714 NA -3.08147805472747 0.198366669960697 NA 30.9734513274336 0
i17 0.844155844155844 0.844155844155844 0.365085969145231 NA 0 0 1 1 0.844155844155844 0.345860762984244 0.378585390638898 NA 0.0714285714285714 NA -3.02261222067022 0.138216214245628 NA 31.858407079646 0
i18 0.833333333333333 0.833333333333333 0.375293312520401 NA 0 0 1 1 0.833333333333333 0.27381846270599 0.315437145740605 NA 0.142857142857143 NA -3.02062682971355 0.118381451316972 NA 36.283185840708 0
i19 0.757142857142857 0.757142857142857 0.431905595083211 NA 0 0 1 1 0.757142857142857 -0.037517966109099 0.00772949832036488 NA 0.0089285714285714 NA -2.90648203196523 0.00333841357175187 NA 38.0530973451327 0
i20 0.742857142857143 0.742857142857143 0.440214515748602 NA 0 0 1 1 0.742857142857143 -0.0850838388685573 -0.0283556101457859 NA 0.0089285714285714 NA -2.88618239075332 -0.0124825511890833 NA 38.0530973451327 0
i21 0.757575757575758 0.757575757575758 0.43183351708753 NA 0 0 1 1 0.757575757575758 0.239153589417504 0.296837991767068 NA 0.151785714285714 NA -3.04539707246124 0.128184593989972 NA 41.5929203539823 0
i22 0.790322580645161 0.790322580645161 0.41040151368212 NA 0 0 1 1 0.790322580645161 0.333039675151408 0.383239225784798 NA 0.142857142857143 NA -3.07848055744325 0.157281958364445 NA 45.1327433628319 0
i23 0.6 0.6 0.494032181755571 NA 0 0 1 1 0.6 0.0700515524560252 0.156811554679903 NA 0.303571428571429 NA -2.98940227137087 0.0774699544829957 NA 46.9026548672566 0
i24 0.75 0.75 0.436666882304686 NA 0 0 1 1 0.75 0.300771390263883 0.3563137278224 NA 0.285714285714286 NA -3.07637422680108 0.155590404650568 NA 46.9026548672566 0
